#   8Li + 208Pb elastic scattering Elab=31 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       0.00       -91.6966     0.0000E+00
       0.01       -91.6966     0.0000E+00
       0.02       -91.6966     0.0000E+00
       0.03       -91.6966     0.0000E+00
       0.04       -91.6968     0.0000E+00
       0.05       -91.6970     0.0000E+00
       0.06       -91.6973     0.0000E+00
       0.07       -91.6976     0.0000E+00
       0.08       -91.6978     0.0000E+00
       0.09       -91.6982     0.0000E+00
       0.10       -91.6987     0.0000E+00
       0.11       -91.6992     0.0000E+00
       0.12       -91.6996     0.0000E+00
       0.13       -91.7002     0.0000E+00
       0.14       -91.7008     0.0000E+00
       0.15       -91.7015     0.0000E+00
       0.16       -91.7021     0.0000E+00
       0.17       -91.7029     0.0000E+00
       0.18       -91.7037     0.0000E+00
       0.19       -91.7045     0.0000E+00
       0.20       -91.7054     0.0000E+00
       0.21       -91.7064     0.0000E+00
       0.22       -91.7074     0.0000E+00
       0.23       -91.7083     0.0000E+00
       0.24       -91.7094     0.0000E+00
       0.25       -91.7106     0.0000E+00
       0.26       -91.7118     0.0000E+00
       0.27       -91.7129     0.0000E+00
       0.28       -91.7142     0.0000E+00
       0.29       -91.7155     0.0000E+00
       0.30       -91.7168     0.0000E+00
       0.31       -91.7182     0.0000E+00
       0.32       -91.7197     0.0000E+00
       0.33       -91.7211     0.0000E+00
       0.34       -91.7227     0.0000E+00
       0.35       -91.7243     0.0000E+00
       0.36       -91.7259     0.0000E+00
       0.37       -91.7276     0.0000E+00
       0.38       -91.7293     0.0000E+00
       0.39       -91.7310     0.0000E+00
       0.40       -91.7329     0.0000E+00
       0.41       -91.7348     0.0000E+00
       0.42       -91.7366     0.0000E+00
       0.43       -91.7386     0.0000E+00
       0.44       -91.7406     0.0000E+00
       0.45       -91.7426     0.0000E+00
       0.46       -91.7447     0.0000E+00
       0.47       -91.7468     0.0000E+00
       0.48       -91.7490     0.0000E+00
       0.49       -91.7513     0.0000E+00
       0.50       -91.7535     0.0000E+00
       0.51       -91.7559     0.0000E+00
       0.52       -91.7583     0.0000E+00
       0.53       -91.7607     0.0000E+00
       0.54       -91.7632     0.0000E+00
       0.55       -91.7656     0.0000E+00
       0.56       -91.7682     0.0000E+00
       0.57       -91.7709     0.0000E+00
       0.58       -91.7734     0.0000E+00
       0.59       -91.7762     0.0000E+00
       0.60       -91.7789     0.0000E+00
       0.61       -91.7817     0.0000E+00
       0.62       -91.7845     0.0000E+00
       0.63       -91.7874     0.0000E+00
       0.64       -91.7903     0.0000E+00
       0.65       -91.7933     0.0000E+00
       0.66       -91.7963     0.0000E+00
       0.67       -91.7994     0.0000E+00
       0.68       -91.8024     0.0000E+00
       0.69       -91.8056     0.0000E+00
       0.70       -91.8088     0.0000E+00
       0.71       -91.8121     0.0000E+00
       0.72       -91.8153     0.0000E+00
       0.73       -91.8187     0.0000E+00
       0.74       -91.8221     0.0000E+00
       0.75       -91.8256     0.0000E+00
       0.76       -91.8290     0.0000E+00
       0.77       -91.8326     0.0000E+00
       0.78       -91.8361     0.0000E+00
       0.79       -91.8398     0.0000E+00
       0.80       -91.8434     0.0000E+00
       0.81       -91.8470     0.0000E+00
       0.82       -91.8509     0.0000E+00
       0.83       -91.8546     0.0000E+00
       0.84       -91.8585     0.0000E+00
       0.85       -91.8624     0.0000E+00
       0.86       -91.8663     0.0000E+00
       0.87       -91.8703     0.0000E+00
       0.88       -91.8743     0.0000E+00
       0.89       -91.8785     0.0000E+00
       0.90       -91.8826     0.0000E+00
       0.91       -91.8867     0.0000E+00
       0.92       -91.8910     0.0000E+00
       0.93       -91.8952     0.0000E+00
       0.94       -91.8995     0.0000E+00
       0.95       -91.9038     0.0000E+00
       0.96       -91.9083     0.0000E+00
       0.97       -91.9127     0.0000E+00
       0.98       -91.9171     0.0000E+00
       0.99       -91.9218     0.0000E+00
       1.00       -91.9263     0.0000E+00
       1.01       -91.9309     0.0000E+00
       1.02       -91.9356     0.0000E+00
       1.03       -91.9404     0.0000E+00
       1.04       -91.9451     0.0000E+00
       1.05       -91.9499     0.0000E+00
       1.06       -91.9547     0.0000E+00
       1.07       -91.9596     0.0000E+00
       1.08       -91.9647     0.0000E+00
       1.09       -91.9696     0.0000E+00
       1.10       -91.9746     0.0000E+00
       1.11       -91.9797     0.0000E+00
       1.12       -91.9848     0.0000E+00
       1.13       -91.9901     0.0000E+00
       1.14       -91.9953     0.0000E+00
       1.15       -92.0006     0.0000E+00
       1.16       -92.0059     0.0000E+00
       1.17       -92.0112     0.0000E+00
       1.18       -92.0166     0.0000E+00
       1.19       -92.0221     0.0000E+00
       1.20       -92.0276     0.0000E+00
       1.21       -92.0331     0.0000E+00
       1.22       -92.0387     0.0000E+00
       1.23       -92.0443     0.0000E+00
       1.24       -92.0500     0.0000E+00
       1.25       -92.0557     0.0000E+00
       1.26       -92.0615     0.0000E+00
       1.27       -92.0673     0.0000E+00
       1.28       -92.0732     0.0000E+00
       1.29       -92.0791     0.0000E+00
       1.30       -92.0851     0.0000E+00
       1.31       -92.0911     0.0000E+00
       1.32       -92.0971     0.0000E+00
       1.33       -92.1032     0.0000E+00
       1.34       -92.1094     0.0000E+00
       1.35       -92.1155     0.0000E+00
       1.36       -92.1217     0.0000E+00
       1.37       -92.1280     0.0000E+00
       1.38       -92.1343     0.0000E+00
       1.39       -92.1407     0.0000E+00
       1.40       -92.1471     0.0000E+00
       1.41       -92.1535     0.0000E+00
       1.42       -92.1600     0.0000E+00
       1.43       -92.1666     0.0000E+00
       1.44       -92.1732     0.0000E+00
       1.45       -92.1798     0.0000E+00
       1.46       -92.1865     0.0000E+00
       1.47       -92.1932     0.0000E+00
       1.48       -92.1999     0.0000E+00
       1.49       -92.2068     0.0000E+00
       1.50       -92.2137     0.0000E+00
       1.51       -92.2205     0.0000E+00
       1.52       -92.2275     0.0000E+00
       1.53       -92.2344     0.0000E+00
       1.54       -92.2415     0.0000E+00
       1.55       -92.2487     0.0000E+00
       1.56       -92.2557     0.0000E+00
       1.57       -92.2630     0.0000E+00
       1.58       -92.2701     0.0000E+00
       1.59       -92.2775     0.0000E+00
       1.60       -92.2847     0.0000E+00
       1.61       -92.2920     0.0000E+00
       1.62       -92.2995     0.0000E+00
       1.63       -92.3069     0.0000E+00
       1.64       -92.3143     0.0000E+00
       1.65       -92.3219     0.0000E+00
       1.66       -92.3295     0.0000E+00
       1.67       -92.3372     0.0000E+00
       1.68       -92.3448     0.0000E+00
       1.69       -92.3525     0.0000E+00
       1.70       -92.3602     0.0000E+00
       1.71       -92.3681     0.0000E+00
       1.72       -92.3759     0.0000E+00
       1.73       -92.3838     0.0000E+00
       1.74       -92.3917     0.0000E+00
       1.75       -92.3997     0.0000E+00
       1.76       -92.4077     0.0000E+00
       1.77       -92.4158     0.0000E+00
       1.78       -92.4239     0.0000E+00
       1.79       -92.4320     0.0000E+00
       1.80       -92.4402     0.0000E+00
       1.81       -92.4485     0.0000E+00
       1.82       -92.4567     0.0000E+00
       1.83       -92.4651     0.0000E+00
       1.84       -92.4735     0.0000E+00
       1.85       -92.4819     0.0000E+00
       1.86       -92.4904     0.0000E+00
       1.87       -92.4989     0.0000E+00
       1.88       -92.5075     0.0000E+00
       1.89       -92.5160     0.0000E+00
       1.90       -92.5247     0.0000E+00
       1.91       -92.5334     0.0000E+00
       1.92       -92.5421     0.0000E+00
       1.93       -92.5509     0.0000E+00
       1.94       -92.5597     0.0000E+00
       1.95       -92.5685     0.0000E+00
       1.96       -92.5775     0.0000E+00
       1.97       -92.5864     0.0000E+00
       1.98       -92.5954     0.0000E+00
       1.99       -92.6044     0.0000E+00
       2.00       -92.6135     0.0000E+00
       2.01       -92.6226     0.0000E+00
       2.02       -92.6318     0.0000E+00
       2.03       -92.6410     0.0000E+00
       2.04       -92.6502     0.0000E+00
       2.05       -92.6596     0.0000E+00
       2.06       -92.6689     0.0000E+00
       2.07       -92.6783     0.0000E+00
       2.08       -92.6877     0.0000E+00
       2.09       -92.6972     0.0000E+00
       2.10       -92.7067     0.0000E+00
       2.11       -92.7162     0.0000E+00
       2.12       -92.7258     0.0000E+00
       2.13       -92.7356     0.0000E+00
       2.14       -92.7451     0.0000E+00
       2.15       -92.7549     0.0000E+00
       2.16       -92.7647     0.0000E+00
       2.17       -92.7745     0.0000E+00
       2.18       -92.7844     0.0000E+00
       2.19       -92.7943     0.0000E+00
       2.20       -92.8042     0.0000E+00
       2.21       -92.8142     0.0000E+00
       2.22       -92.8242     0.0000E+00
       2.23       -92.8343     0.0000E+00
       2.24       -92.8444     0.0000E+00
       2.25       -92.8545     0.0000E+00
       2.26       -92.8648     0.0000E+00
       2.27       -92.8750     0.0000E+00
       2.28       -92.8852     0.0000E+00
       2.29       -92.8956     0.0000E+00
       2.30       -92.9060     0.0000E+00
       2.31       -92.9163     0.0000E+00
       2.32       -92.9269     0.0000E+00
       2.33       -92.9374     0.0000E+00
       2.34       -92.9479     0.0000E+00
       2.35       -92.9585     0.0000E+00
       2.36       -92.9691     0.0000E+00
       2.37       -92.9798     0.0000E+00
